department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG301,MARKETING CONCEPTS,,https://myplan.uw.edu/course/#/courses/MKTG301
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG335,PRIN OF SELLING,,https://myplan.uw.edu/course/#/courses/MKTG335
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG370,RETAILING,,https://myplan.uw.edu/course/#/courses/MKTG370
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG415,PRICE STRAT & VALUE ,,https://myplan.uw.edu/course/#/courses/MKTG415
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG430,SALES FORCE MGMT,,https://myplan.uw.edu/course/#/courses/MKTG430
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG445,MULTICULTURAL MKTG,DIV,https://myplan.uw.edu/course/#/courses/MKTG445
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG450,CONSUMER BEHAVIOR,,https://myplan.uw.edu/course/#/courses/MKTG450
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG454,STRATEGIC PROD MGMT ,,https://myplan.uw.edu/course/#/courses/MKTG454
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG456,ADVERTISING,,https://myplan.uw.edu/course/#/courses/MKTG456
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG460,CONSUMER INSIGHTS,,https://myplan.uw.edu/course/#/courses/MKTG460
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG462,CUST ANALYTICS,,https://myplan.uw.edu/course/#/courses/MKTG462
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG464,ANALYTIC MKTG DEC,,https://myplan.uw.edu/course/#/courses/MKTG464
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG466,DIGITAL MKTG ANLYTCS,,https://myplan.uw.edu/course/#/courses/MKTG466
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG490,SPC TPCS A ISS MKTG ,,https://myplan.uw.edu/course/#/courses/MKTG490
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/MKTG499
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG515,STRAT PRICE VALUE,,https://myplan.uw.edu/course/#/courses/MKTG515
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG518,STRAT MKTG MGMT,,https://myplan.uw.edu/course/#/courses/MKTG518
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG531,PROD MGMT,,https://myplan.uw.edu/course/#/courses/MKTG531
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG554,STRAT PROG MGMT,,https://myplan.uw.edu/course/#/courses/MKTG554
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG564,ANALYTICS MKTG DEC,,https://myplan.uw.edu/course/#/courses/MKTG564
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG579,SPEC TOPICS IN MKTG ,,https://myplan.uw.edu/course/#/courses/MKTG579
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG583,MARKETING STRATEGY,,https://myplan.uw.edu/course/#/courses/MKTG583
Marketing (MKTG),MKTG,https://www.washington.edu/students/timeschd/WIN2021/mktg.html,MKTG600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/MKTG600
